(13320, 1147) 
(2609, 1265) 
(12639, 1501) 
(2116, 1619) 
(4727, 1703) 
(17218, 1712) 
(898, 2161) 
(16280, 2714) 
(14673, 3031) 
(15063, 3032) 
(7625, 3332) 
(13275, 3346) 
(13275, 3351) 
(15911, 3395) 
(11478, 3543) 
(9847, 4112) 
(6617, 4398) 
(16837, 4735) 
(2230, 4873) 
(2230, 4873) 
(2279, 4921) 
(17160, 5035) 
(5793, 5156) 
(13175, 5190) 
(11092, 5400) 
(17271, 5573) 
(14667, 5738) 
(5032, 5918) 
(10213, 6033) 
(10213, 6048) 
(16222, 6078) 
(10452, 6080) 
(8729, 6399) 
(776, 7164) 
(12556, 7361) 
(8016, 7504) 
(12261, 7600) 
(12860, 8125) 
(11685, 8406) 
(4480, 8876) 
(5274, 10091) 
(6872, 10108) 
(9977, 10325) 
(4582, 10363) 
(3128, 10419) 
(16627, 10482) 
(12228, 10932) 
(1862, 11868) 
(1208, 12295) 
(5959, 12589) 
(1129, 12664) 
(9357, 12705) 
(14556, 12742) 
(7898, 12948) 
(5998, 13041) 
(16398, 13134) 
(11425, 13340) 
(1196, 13595) 
(14281, 14145) 
(85, 14444) 
(1931, 14495) 
(12769, 14606) 
(17879, 15014) 
(18403, 15085) 
(8248, 15231) 
(4551, 15287) 
(10930, 15489) 
(10930, 15499) 
(14841, 15504) 
(19847, 15714) 
(2987, 15725) 
(2987, 15750) 
(1665, 15892) 
(2999, 15897) 
(2203, 15946) 
(15382, 16113) 
(6750, 16138) 
(7168, 16262) 
(9092, 16336) 
(9696, 16337) 
(16119, 16405) 
(16472, 17173) 
(18326, 17555) 
(2145, 17723) 
(2975, 18015) 
(8677, 18420) 
(8468, 18675) 
(4068, 18832) 
(3100, 18854) 
(1519, 18863) 
(1519, 18888) 
(5659, 18999) 
(4834, 19027) 
(481, 19629) 
(14409, 19890) 
(2579, 19929) 
(2579, 19929) 
(4790, 19996) 
(4790, 20006) 
(1775, 20074) 
(2443, 20218) 
(2443, 20218) 
(15877, 20257) 
(449, 20437) 
(15449, 20959) 
(13678, 21071) 
(7615, 21689) 
(12956, 21877) 
(5286, 22056) 
(4500, 22473) 
(3288, 22707) 
(11867, 22771) 
(10914, 23126) 
(5034, 23341) 
(14426, 23399) 
(2455, 23628) 
(10663, 23634) 
(2455, 23639) 
(6988, 23696) 
(3905, 23952) 
(8627, 23970) 
(3699, 24128) 
(4580, 24739) 
(16857, 24897) 
(18944, 25107) 
(10766, 25393) 
(19852, 26031) 
(11278, 26109) 
(13118, 27573) 
(13118, 27573) 
(1687, 27637) 
(10121, 27779) 
(4046, 28269) 
(12140, 28501) 
(10753, 28645) 
(7264, 28656) 
(11056, 28764) 
(6861, 29031) 
(15354, 29369) 
(2912, 30367) 
(16302, 30590) 
(17660, 30793) 
(7756, 30879) 
(10083, 31022) 
(365, 31310) 
(365, 31310) 
(8175, 31899) 
(5864, 32065) 
(2314, 32800) 
(3555, 32935) 
(10383, 32987) 
(17914, 33142) 
(17914, 33142) 
(6421, 33199) 
(15538, 33444) 
(12269, 33660) 
(5844, 33701) 
(10733, 33992) 
(12635, 34018) 
(15202, 34434) 
(2041, 34473) 
(8454, 34849) 
(9760, 34902) 
(11436, 35220) 
(15005, 35347) 
(5777, 36190) 
(3999, 36612) 
(16858, 36831) 
(5591, 36953) 
(12188, 37011) 
(7328, 37029) 
(7328, 37044) 
(7416, 37237) 
(5243, 37340) 
(18626, 37389) 
(6413, 37534) 
(7738, 37810) 
(758, 37959) 
(3243, 38412) 
(5227, 38544) 
(16872, 38552) 
(18717, 38808) 
(18717, 38808) 
(16599, 38830) 
(9579, 39245) 
(11137, 39838) 
(7517, 39890) 
(14513, 39945) 
(7387, 40043) 
(19255, 40443) 
(11534, 40644) 
(13204, 40745) 
(4125, 40922) 
(8116, 41760) 
(10050, 41820) 
(18272, 41881) 
(16644, 41961) 
(5503, 42604) 
(10812, 43101) 
(19854, 43194) 
(18933, 43229) 
(6568, 43310) 
(8325, 43449) 
(19769, 43486) 
(8796, 43623) 
(1268, 43705) 
(10131, 43765) 
(11019, 44629) 
(3579, 44770) 
(11642, 45138) 
(11642, 45138) 
(5783, 45232) 
(5157, 45323) 
(8808, 45520) 
(9044, 45781) 
(11658, 45848) 
(4915, 45913) 
(5991, 45937) 
(9651, 46093) 
(16540, 46121) 
(16540, 46121) 
(6345, 46140) 
(6930, 46182) 
(5914, 46694) 
(17626, 46930) 
(16482, 47968) 
(2732, 47969) 
(1543, 48182) 
(3379, 48436) 
(11108, 48646) 
(14785, 48679) 
(11038, 48748) 
(7587, 48772) 
(11901, 49037) 
(8332, 49239) 
(3309, 49301) 
(5847, 49391) 
(5105, 49522) 
(12758, 49532) 
(1086, 49781) 
(10660, 49903) 
(9363, 49913) 
(8589, 50155) 
(1598, 50375) 
(10744, 50398) 
(18022, 50505) 
(8564, 50776) 
(12136, 50962) 
(13502, 51167) 
(16309, 51551) 
(16340, 51563) 
(11860, 51718) 
(452, 51835) 
(17216, 51944) 
(17662, 52070) 
(879, 52385) 
(1793, 52667) 
(4219, 53025) 
(5579, 53290) 
(12920, 53608) 
(12861, 53643) 
(11290, 53926) 
(2932, 53931) 
(14187, 53958) 
(2689, 54016) 
(14283, 54102) 
(7213, 54119) 
(8316, 54248) 
(7202, 54280) 
(7152, 54370) 
(15004, 54475) 
(7322, 54539) 
(8071, 54647) 
(9113, 54800) 
(9380, 54851) 
(10120, 54987) 
(11353, 55222) 
(12503, 55422) 
(12585, 55423) 
(12652, 55456) 
(13291, 55608) 
(13316, 55621) 
(13702, 55727) 
(15745, 56166) 
(15855, 56191) 
(16043, 56210) 
(16120, 56230) 
(18113, 56530) 
(18948, 56652) 
(19577, 56762) 
(19739, 56799) 
(980, 57009) 
(1798, 57177) 
(4812, 57723) 
(5210, 57775) 
(6212, 57991) 
(6509, 58029) 
(6733, 58072) 
(9837, 58579) 
(10672, 58716) 
(11910, 58897) 
(12682, 59045) 
(13313, 59189) 
(13575, 59282) 
(14166, 59379) 
(15194, 59515) 
(15337, 59554) 
(15405, 59590) 
(17082, 59920) 
(17117, 59924) 
(19752, 60321) 
(924, 60498) 
(2429, 60812) 
(2714, 60833) 
(3451, 60963) 
(4233, 61074) 
(4678, 61169) 
(4885, 61214) 
(5769, 61378) 
(6002, 61413) 
(6068, 61414) 
(6512, 61498) 
(7103, 61594) 
(10176, 62097) 
(11314, 62251) 
(12923, 62543) 
(13268, 62623) 
(13563, 62704) 
(14300, 62826) 
(15708, 63124) 
(16082, 63176) 
(16474, 63254) 
(17259, 63353) 
(17498, 63386) 
(18233, 63479) 
(19053, 63610) 
(19490, 63663) 
(756, 63873) 
(983, 63909) 
(1151, 63935) 
(1193, 63952) 
(2355, 64164) 
(2419, 64182) 
(2484, 64185) 
(6534, 64836) 
(6653, 64847) 
(7009, 64896) 
(7285, 64969) 
(7570, 64999) 
(8925, 65210) 
(9715, 65342) 
(10828, 65494) 
(11669, 65630) 
(14127, 66087) 
(14801, 66178) 
(14829, 66181) 
(15091, 66214) 
(15618, 66371) 
(17606, 66673) 
(18558, 66792) 
(143, 67025) 
(338, 67071) 
(1085, 67169) 
(1974, 67321) 
(3074, 67486) 
(4856, 67783) 
(7089, 68135) 
(9109, 68434) 
(9124, 68442) 
(10082, 68593) 
(11522, 68789) 
(11729, 68828) 
(12666, 68978) 
(14403, 69315) 
(15269, 69418) 
(15325, 69433) 
(15451, 69486) 
(15655, 69553) 
(16204, 69633) 
(16638, 69733) 
(18992, 70021) 
(139, 70179) 
(3033, 70626) 
(3321, 70664) 
(4168, 70783) 
(4647, 70888) 
(4750, 70904) 
(5131, 70937) 
(6608, 71190) 
(6918, 71230) 
(7077, 71259) 
(7532, 71328) 
(8125, 71412) 
(8550, 71491) 
(8906, 71536) 
(9914, 71669) 
(11762, 71935) 
(12740, 72102) 
(14457, 72418) 
(15854, 72672) 
(16098, 72694) 
(16617, 72781) 
(17859, 72918) 
(18438, 72984) 
(18844, 73028) 
(19167, 73086) 
(443, 73272) 
(2214, 73547) 
(4462, 73875) 
(6860, 74231) 
(7466, 74321) 
(7996, 74390) 
(8843, 74509) 
(9114, 74537) 
(9390, 74583) 
(10005, 74652) 
(10017, 74665) 
(12308, 74991) 
(13127, 75114) 
(15414, 75510) 
(16199, 75650) 
(16860, 75751) 
(18289, 75907) 
(18492, 75935) 
(176, 76156) 
(265, 76174) 
(279, 76178) 
(554, 76207) 
(1032, 76264) 
(1647, 76367) 
(3032, 76569) 
(5321, 76901) 
(5718, 76967) 
(5825, 77003) 
(6969, 77131) 
(9616, 77482) 
(12442, 77866) 
(12587, 77881) 
(14843, 78271) 
(15667, 78444) 
(17520, 78670) 
(19218, 78870) 
(19638, 78918) 
(528, 79032) 
(929, 79072) 
(3125, 79392) 
(3140, 79396) 
(3521, 79463) 
(6109, 79829) 
(7507, 80013) 
(7794, 80043) 
(7858, 80056) 
(10101, 80347) 
(10641, 80413) 
(10956, 80427) 
(12613, 80672) 
(12713, 80695) 
(13157, 80752) 
(15348, 81110) 
(17344, 81425) 
(17889, 81477) 
(18024, 81492) 
(1618, 81932) 
(2835, 82109) 
(2901, 82113) 
(4230, 82275) 
(4398, 82314) 
(5298, 82434) 
(6220, 82596) 
(7851, 82766) 
(10007, 83030) 
(11012, 83142) 
(11984, 83292) 
(12465, 83358) 
(12744, 83394) 
(13257, 83478) 
(13380, 83506) 
(14226, 83662) 
(14313, 83672) 
(14458, 83689) 
(15397, 83804) 
(15478, 83831) 
(17241, 84070) 
(18375, 84173) 
(18598, 84197) 
(19770, 84345) 
(178, 84398) 
(346, 84420) 
(1867, 84610) 
(2195, 84656) 
(4873, 85006) 
(6166, 85191) 
(6370, 85227) 
(8146, 85403) 
(9531, 85585) 
(10039, 85640) 
(10793, 85723) 
(11105, 85744) 
(11942, 85854) 
(12287, 85914) 
(12393, 85931) 
(13323, 86057) 
(13394, 86079) 
(15364, 86342) 
(15462, 86368) 
(1056, 87003) 
(1063, 87008) 
(1354, 87057) 
(3324, 87302) 
(3359, 87311) 
(3831, 87375) 
(4216, 87415) 
(7143, 87806) 
(9687, 88103) 
(11595, 88308) 
(11602, 88310) 
(13325, 88530) 
(13374, 88536) 
(14171, 88686) 
(14609, 88708) 
(15074, 88747) 
(15640, 88869) 
(15693, 88873) 
(16258, 88935) 
(16636, 89006) 
(17860, 89115) 
(19013, 89230) 
(19853, 89326) 
(59, 89350) 
(2168, 89590) 
(2323, 89616) 
(2656, 89652) 
(2798, 89663) 
(3611, 89751) 
(4564, 89869) 
(5622, 90004) 
(5809, 90053) 
(7922, 90262) 
(9012, 90395) 
(11433, 90659) 
(12911, 90826) 
(13387, 90905) 
(13671, 90965) 
(14429, 91056) 
(15086, 91101) 
(16437, 91308) 
(16465, 91316) 
(17169, 91374) 
(17647, 91425) 
(18442, 91485) 
(1428, 91803) 
(2347, 91930) 
(4036, 92090) 
(4110, 92093) 
(5475, 92268) 
(5552, 92287) 
(7057, 92458) 
(7402, 92505) 
(8242, 92564) 
(8390, 92579) 
(9178, 92688) 
(9242, 92707) 
(9515, 92731) 
(10097, 92782) 
(12170, 92999) 
(12795, 93070) 
(13001, 93089) 
(13764, 93215) 
(13851, 93227) 
(13909, 93236) 
(14695, 93302) 
(15356, 93367) 
(16259, 93499) 
(17526, 93621) 
(18981, 93737) 
(19591, 93807) 
(19833, 93837) 
(160, 93870) 
(941, 93934) 
(1664, 94022) 
(2081, 94084) 
(2258, 94109) 
(2754, 94146) 
(3692, 94232) 
(4997, 94371) 
(5019, 94373) 
(5296, 94406) 
(5301, 94409) 
(5522, 94433) 
(6200, 94536) 
(7028, 94606) 
(8473, 94737) 
(10088, 94902) 
(11337, 95027) 
(11875, 95081) 
(12458, 95147) 
(12940, 95195) 
(13363, 95253) 
(15248, 95442) 
(15301, 95447) 
(16596, 95624) 
(16605, 95628) 
(16610, 95631) 
(18350, 95757) 
(19656, 95886) 
(74, 95929) 
(566, 95958) 
(3014, 96195) 
(3207, 96210) 
(4771, 96398) 
(5537, 96456) 
(5615, 96459) 
(6191, 96541) 
(6198, 96542) 
(6325, 96555) 
(6634, 96570) 
(6691, 96580) 
(6887, 96591) 
(7023, 96600) 
(7108, 96605) 
(7248, 96628) 
(9742, 96872) 
(10255, 96900) 
(11451, 97019) 
(11583, 97035) 
(12208, 97089) 
(13504, 97241) 
(13729, 97275) 
(14022, 97309) 
(15464, 97431) 
(16385, 97544) 
(18167, 97671) 
(18982, 97746) 
(19296, 97777) 
(19549, 97791) 
(19594, 97802) 
(802, 97889) 
(1294, 97944) 
(2560, 98089) 
(4165, 98204) 
(4560, 98260) 
(5790, 98388) 
(7184, 98477) 
(7661, 98502) 
(8682, 98615) 
(9095, 98648) 
(10989, 98799) 
(11381, 98853) 
(12220, 98920) 
(12295, 98926) 
(13188, 98997) 
